,vectors,case_id,advocates,win_side,votes_side,convo_id,term,docket_id,mq_score
0,[],1955_71,"{'harry_f_murphy': {'side': 1, 'role': 'inferred'}, 'john_v_lindsay': {'side': 0, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13127,1955,71,0.559
1,[],1955_410,"{'howard_c_westwood': {'side': 1, 'role': 'inferred'}, 'walter_j_derenberg': {'side': 0, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 0, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__harold_burton': 1, 'j__stanley_reed': 0, 'j__sherman_minton': 1}",12997,1955,410,0.559
2,[],1955_410,"{'howard_c_westwood': {'side': 1, 'role': 'inferred'}, 'walter_j_derenberg': {'side': 0, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 0, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__harold_burton': 1, 'j__stanley_reed': 0, 'j__sherman_minton': 1}",13024,1955,410,0.559
3,[],1955_351,"{'harry_d_graham': {'side': 3, 'role': 'inferred'}, 'israel_convisser': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__harold_burton': 1, 'j__stanley_reed': 1, 'j__sherman_minton': 1}",13015,1955,351,0.559
4,[],1955_38,"{'robert_n_gorman': {'side': 3, 'role': 'inferred'}, 'walter_k_sibbald': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13016,1955,38,0.559
5,[],1955_38,"{'robert_n_gorman': {'side': 3, 'role': 'inferred'}, 'walter_k_sibbald': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13043,1955,38,0.559
6,[],1955_49,"{'manfred_w_ehrich_jr': {'side': 3, 'role': 'inferred'}, 'joseph_a_mcnamara': {'side': 3, 'role': 'inferred'}, 'guy_m_page_jr': {'side': 3, 'role': 'inferred'}, 'eugene_v_clark': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 1, 'j__sherman_minton': 1}",13106,1955,49,0.559
7,[],1955_49,"{'manfred_w_ehrich_jr': {'side': 3, 'role': 'inferred'}, 'joseph_a_mcnamara': {'side': 3, 'role': 'inferred'}, 'guy_m_page_jr': {'side': 3, 'role': 'inferred'}, 'eugene_v_clark': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 1, 'j__sherman_minton': 1}",13141,1955,49,0.559
8,[],1955_60,"{'stanley_m_rosenblum': {'side': 3, 'role': 'inferred'}, 'philip_elman': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13143,1955,60,0.559
9,[],1955_92,"{'joseph_forer': {'side': 1, 'role': 'inferred'}, 'gardiner_johnson': {'side': 3, 'role': 'inferred'}, 'thomas_e_stanton_jr': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",12996,1955,92,0.559
10,[],1955_92,"{'joseph_forer': {'side': 1, 'role': 'inferred'}, 'gardiner_johnson': {'side': 3, 'role': 'inferred'}, 'thomas_e_stanton_jr': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13111,1955,92,0.559
11,[],1955_110,"{'charles_e_ford': {'side': 3, 'role': 'inferred'}, 'gray_thoron': {'side': 3, 'role': 'inferred'}}",1,"{'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__harold_burton': 1, 'j__stanley_reed': 1, 'j__sherman_minton': 1}",13066,1955,110,0.559
12,[],1955_110,"{'charles_e_ford': {'side': 3, 'role': 'inferred'}, 'gray_thoron': {'side': 3, 'role': 'inferred'}}",1,"{'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__harold_burton': 1, 'j__stanley_reed': 1, 'j__sherman_minton': 1}",13142,1955,110,0.559
13,[],1955_76,"{'william_h_webb': {'side': 1, 'role': 'inferred'}, 'jo_baily_brown': {'side': 0, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 1, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13046,1955,76,0.559
14,[],1955_76,"{'william_h_webb': {'side': 1, 'role': 'inferred'}, 'jo_baily_brown': {'side': 0, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 1, 'j__harold_burton': 0, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13103,1955,76,0.559
15,[],1955_442,"{'david_i_shapiro': {'side': 3, 'role': 'inferred'}, 'donald_b_macguineas': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 1, 'j__harold_burton': 1, 'j__stanley_reed': 0, 'j__sherman_minton': 0}",13014,1955,442,0.559
